,trapEmax,t90,t10,t50
11524,-5.064142861333772,1.0,0.0,0.0
11525,-11.024624999999883,2.0,1.0,0.0
11526,27.968340942698905,877.0,145.0,107.0
11527,-78.15350000000075,2.0,1.0,0.0
11528,-18.85803571847667,1.0,0.0,0.0
11529,18.643857142856874,795.0,122.0,96.0
11530,9226.607607142849,14017.0,3670.0,3669.0
11531,8668.024291002586,15486.0,10531.0,10530.0
11532,10361.967625000018,7021.0,7020.0,7018.0
11533,1810.5066504497308,3521.0,3520.0,3516.0
11534,14199.886250000021,12023.0,7792.0,7777.0
11535,43.715303571428514,821.0,107.0,70.0
11536,89.7689642857142,837.0,124.0,85.0
11537,100.12224453988175,868.0,152.0,111.0
11538,280.43548214285596,821.0,132.0,96.0
11539,-23.176821428571678,2.0,1.0,0.0
11540,5.681822787586747,668.0,45.0,12.0
11541,2.562642857142859,5668.0,5650.0,5632.0
11542,-0.8095409953060948,2.0,1.0,0.0
11543,-51.2065,1.0,0.0,0.0
11544,86.46767857142811,821.0,122.0,83.0
11545,34.186553571428504,790.0,113.0,69.0
11546,-83.64735714285739,1.0,0.0,0.0
11547,-14.312803571428562,2.0,1.0,0.0
11548,56.63842856723762,804.0,122.0,77.0
11549,-55.334785714285935,2.0,1.0,0.0
11550,-5.488928571428506,2.0,1.0,0.0
11551,9226.607607142849,14017.0,3670.0,3669.0
11552,8668.024291002586,15486.0,10531.0,10530.0
11553,10361.967625000018,7021.0,7020.0,7018.0
11554,1810.5066504497308,3521.0,3520.0,3516.0
11555,14199.886250000021,12023.0,7792.0,7777.0
11556,34.93639492886788,856.0,99.0,51.0
11557,45.56378163143026,845.0,157.0,116.0
11558,-10.5954464285713,2.0,1.0,0.0
11559,-29.341258737432984,2.0,1.0,0.0
11560,9226.607607142849,14017.0,3670.0,3669.0
11561,8668.024291002586,15486.0,10531.0,10530.0
11562,10361.967625000018,7021.0,7020.0,7018.0
11563,1810.5066504497308,3521.0,3520.0,3516.0
11564,14199.886250000021,12023.0,7792.0,7777.0
11565,12.706571428571523,810.0,129.0,104.0
11566,-44.58351785714298,2.0,1.0,0.0
11567,19.504874999999906,907.0,153.0,113.0
11568,-24.8332142899053,2.0,1.0,0.0
11569,9226.607607142849,14017.0,3670.0,3669.0
11570,8668.024291002586,15486.0,10531.0,10530.0
11571,10361.967625000018,7021.0,7020.0,7018.0
11572,1810.5066504497308,3521.0,3520.0,3516.0
11573,14199.886250000021,12023.0,7792.0,7777.0
11574,179.85337500000043,828.0,128.0,90.0
11575,103.03757142857177,819.0,131.0,91.0
11576,129.7788214285713,780.0,114.0,70.0
11577,-43.379892857142615,1.0,0.0,0.0
11578,83.97266071428633,800.0,135.0,101.0
11579,-39.37991071847636,2.0,1.0,0.0
11580,-17.274303571428696,1.0,0.0,0.0
11581,-28.806892857142998,2.0,1.0,0.0
11582,-71.04101785714292,1.0,0.0,0.0
11583,23.62775063470066,860.0,169.0,127.0
11584,-99.06218976817013,1.0,0.0,0.0
11585,12.958803571428641,562.0,96.0,56.0
11586,-38.92576785714307,2.0,1.0,0.0
11587,-16.816946428571477,2.0,1.0,0.0
11588,58.16699526887992,844.0,136.0,90.0
11589,-88.63774999999967,1.0,0.0,0.0
11590,47.51788342317506,859.0,123.0,78.0
11591,9.10498214285717,1183.0,615.0,544.0
11592,12.970250000000105,623.0,62.0,23.0
11593,-35.51094642857156,1.0,0.0,0.0
11594,-115.63201785714247,2.0,1.0,0.0
11595,-44.89186873577016,2.0,1.0,0.0
11596,93.09412745439259,828.0,126.0,82.0
11597,2.711035710094765,6719.0,6707.0,2202.0
11598,96.4865535714286,843.0,156.0,106.0
11599,-7.151053571428535,2.0,1.0,0.0
11600,109.20331806268945,846.0,143.0,111.0
11601,57.465303571428684,792.0,113.0,69.0
11602,-74.42185714285729,1.0,0.0,0.0
11603,-106.1725357142854,1.0,0.0,0.0
11604,34.124607142857464,801.0,121.0,78.0
11605,86.49214285714235,817.0,122.0,72.0
11606,23.461660714285596,922.0,139.0,120.0
11607,60.45069642857149,843.0,118.0,81.0
11608,37.697071424380376,855.0,110.0,66.0
11609,19.895005519236292,861.0,120.0,105.0
11610,-110.28340567053623,1.0,0.0,0.0
11611,-42.96555357142858,2.0,1.0,0.0
11612,-2.220589045880754,2.0,1.0,0.0
11613,36.14520228664972,956.0,198.0,129.0
11614,-15.569453159529532,2.0,1.0,0.0
11615,-116.4373750041914,1.0,0.0,0.0
11616,-41.854107142857345,2.0,1.0,0.0
11617,-2.377374999999978,2.0,1.0,0.0
11618,-5.6032857142857075,2.0,1.0,0.0
11619,-20.04448401790082,2.0,1.0,0.0
11620,55.50937500000005,879.0,123.0,110.0
11621,-6.292553571428539,2.0,1.0,0.0
11622,3.149321428571426,5640.0,5612.0,5380.0
11623,9226.607607142849,14017.0,3670.0,3669.0
11624,8668.024291002586,15486.0,10531.0,10530.0
11625,10361.967625000018,7021.0,7020.0,7018.0
11626,1810.5066504497308,3521.0,3520.0,3516.0
11627,14199.886250000021,12023.0,7792.0,7777.0
11628,38.642446428571354,770.0,115.0,73.0
11629,-12.822160714285662,2.0,1.0,0.0
11630,76.92028571428561,827.0,119.0,93.0
11631,72.60399999999998,820.0,124.0,102.0
11632,-3.7829510222661575,2.0,1.0,0.0
11633,27.794589285714302,909.0,133.0,92.0
11634,42.27096428571438,856.0,123.0,80.0
11635,-83.98892857142881,2.0,1.0,0.0
11636,48.86176785714337,781.0,112.0,59.0
11637,-0.7559107184766551,15486.0,7654.0,7653.0
11638,57.10853300355402,899.0,143.0,108.0
11639,17.73905357142854,887.0,118.0,117.0
11640,-25.081464285714333,1.0,0.0,0.0
11641,-131.43766071428698,1.0,0.0,0.0
11642,-14.930714285714261,2.0,1.0,0.0
11643,-69.11044642857172,2.0,1.0,0.0
11644,9226.607607142849,14017.0,3670.0,3669.0
11645,8668.024291002586,15486.0,10531.0,10530.0
11646,10361.967625000018,7021.0,7020.0,7018.0
11647,1810.5066504497308,3521.0,3520.0,3516.0
11648,14199.886250000021,12023.0,7792.0,7777.0
11649,28.12282142857123,875.0,194.0,163.0
11650,71.00200302097082,834.0,114.0,74.0
11651,85.49892856723712,847.0,130.0,107.0
11652,-111.45498214285723,1.0,0.0,0.0
11653,-55.96378571428612,2.0,1.0,0.0
11654,-0.3859266746104387,1.0,0.0,0.0
11655,-74.31167857142869,1.0,0.0,0.0
11656,9226.607607142849,14017.0,3670.0,3669.0
11657,8668.024291002586,15486.0,10531.0,10530.0
11658,10361.967625000018,7021.0,7020.0,7018.0
11659,1810.5066504497308,3521.0,3520.0,3516.0
11660,14199.886250000021,12023.0,7792.0,7777.0
11661,-9.704464285714305,2.0,1.0,0.0
11662,51.54641071009463,848.0,126.0,91.0
11663,-16.10407142857158,1.0,0.0,0.0
11664,38.9174642857144,859.0,131.0,93.0
11665,94.80208928571524,825.0,130.0,95.0
11666,6.11869642857144,1424.0,483.0,482.0
11667,-16.03673214285734,1.0,0.0,0.0
11668,-16.06900000000008,1.0,0.0,0.0
11669,43.84848214285724,803.0,125.0,109.0
11670,93.88314285714353,818.0,117.0,75.0
11671,-25.321142857142938,1.0,0.0,0.0
11672,53.078571428571394,822.0,157.0,127.0
