,trapEmax
0,5.739928556170639
1,5.852680484687763
2,4.970060205277696
3,5.9923461133666605
4,5.437472702525664
5,5.575730308671192
6,6.416041973103682
7,6.362431748793297
8,6.045996283994347
9,5.782581857373857
10,6.246603477982511
11,5.121569191829045
12,5.753545431976572
13,5.180163263832592
14,5.801476341663955
15,5.7862572100362115
16,4.892427525426518
17,5.293702960758846
18,6.1365830885472175
19,6.1160742661398855
20,4.621678142322422
21,6.499058470985825
22,5.997613239090831
23,5.331505651606961
24,5.450743012111615
25,5.28311538799405
26,6.669442271774816
27,6.622475978350837
28,7.153334883744982
29,6.4977344668294155
30,5.820842165860561
31,6.175433869309846
32,5.9942086388280975
33,6.17751894846105
34,5.720128882779781
35,6.628118684887817
36,5.800531922661007
37,5.983165618210174
38,6.6054153918759875
39,5.406488127226403
40,5.2349212503721425
41,5.982587404471325
42,5.392142948386133
43,5.460803395546961
44,6.7993869849957225
45,5.758318571659694
46,6.499913336496563
47,6.9763253840995905
48,6.3512958336319185
49,6.702908546494996
50,5.55343034545657
51,5.5735235314483
52,4.99777483335939
53,5.5562269154941015
54,6.478631089200969
55,5.914638259718134
56,5.674571862915979
57,5.336369273050929
58,5.436564324021585
59,5.451142073107969
60,5.565710142435839
61,5.5545778979661975
62,5.855161468273557
63,4828.768131823853
64,6.0394027466525495
65,6.069889658288247
66,5.973390647728555
67,6.253221637471054
68,6.245372648515802
69,5.621507704514296
70,5.967044926926711
71,5.19018693583761
72,6.336918563715207
73,5.473408758020522
74,5.959560301586182
75,5.730093445410215
76,5.624195287471517
77,6.401597334917594
78,5.784653151776834
79,5.909908978005789
80,5.810075824112148
81,5.585423491994124
82,5.830950404209476
83,5.441396868518405
84,5.520852275708451
85,4.85961388262297
86,5.36355963875006
87,6.050608345446177
88,6.035826320890948
89,5.651540467199188
90,5.963043753556442
91,6.4896953244694044
92,5.570199391113538
93,6.580564315153151
94,4.970534710859796
95,5.830278958159549
96,5.81381693317244
97,5.7760266548816235
98,5.76813168472357
99,4.8682471162084635
100,4.729305507927446
101,5.488256908911041
102,4.580724324423776
103,6.115016586437832
104,5.297767152759179
105,6.429034767368833
106,6.041880053461929
107,4.942802744834991
108,6.564311445138448
109,6.352335065585358
110,5.176563621218453
111,5.952923229445876
112,6.237618315196911
113,5.433554844781049
114,5.370506998513215
115,5.555039779988616
116,4.660095524527995
117,6.127121059560997
118,5.090153669626382
119,6.682219023547228
120,6.230769522363241
121,5.325838014422907
122,5.2686159611724355
123,5.842166319437596
124,7.412709686847921
125,5.640930560374642
126,6.497125267633722
127,6.6967270656445885
128,5.591050744146529
129,6.52765241081107
130,5.65529138357429
131,4.991421263702063
132,6.032819725778557
133,6.012881179532971
134,5.2425284677295325
135,5.513724628548856
136,5.017728196492362
137,5.766342312741047
138,5.764930551970882
139,5.011271969361005
140,5.477703108425776
141,5.521773987974696
142,6.733538293089002
143,5.758971131210107
144,4.973928201545239
145,5.739872946445176
146,5.609189982773659
147,5.637463335483231
148,5.827682867730812
149,5.927935764445033
150,4.9941975839424675
151,6.980022650918022
152,6.529506091527849
153,5.938925505344503
154,6.5878847501853475
155,6.687070155928558
156,5.211884987256294
157,5.7015516391448955
158,6.3971832541555225
159,6.02536107113783
160,5.927053418213161
161,5.994097685317702
162,5.661550480062281
163,6.956749432747032
164,5.612350219705279
165,5.331324764332859
166,5.510338929654906
167,5.882689985646316
168,5.518289908168799
169,4.993060465087627
170,5.762834497199204
171,5.681719794423093
172,5.678566990247008
173,5.706891381260892
174,6.681316048079063
175,6.970420090464247
176,5.625216449876154
177,6.085396771842472
178,5.159862537102986
179,5.582006851262771
180,5.7743159125903905
181,5.476622903735585
182,5.426496799942826
183,6.693145736816787
184,7.011013805782062
185,5.635683065429052
186,6.428856134063904
187,5.785992803337996
188,5.498719527896971
189,5.28247296160612
190,5.2963747083871455
191,5.819951218881038
192,5.503542487813581
193,5.549105757816596
194,5.76279940530283
195,6.3544084120142434
196,5.11001560015382
197,4.818638419448839
198,5.891088570558153
199,4.716932006719619
200,6.117509220500039
201,5.401658037151955
202,6.011350154895126
203,5.135241198184951
204,6.134290054662851
205,5.7815154882116655
206,5.399776596041687
207,5.466823741124685
208,4.461593478690138
209,5.628811230740741
210,6.205140336699703
211,5.470573930034905
212,5.967935647045511
213,5.268971530670389
214,5.716155051155237
215,5.070870450391169
216,5.670928445079095
