,trapEmax
0,5.713893615823848
1,5.443780528986401
2,1017.0863923588837
3,4.259515029632595
4,4.954387869881025
5,5.019336063420595
6,4.82559273448345
7,4.699946568751152
8,4.933591929862327
9,5.912200366709095
10,4.645310707367397
11,5.443839310457218
12,4.619510954504193
13,1666.2476599431263
14,4.568996227278688
15,-3766.585877550586
16,4.619510954504193
17,1666.2476599431263
18,4.568996227278688
19,-23.803796103412378
20,4.2605981195451905
21,4.841633956293498
22,5.628109989380095
23,5.854644047194535
24,5.023463405346733
25,5.161901163504629
26,4.937637566545988
27,4.758182594450982
28,4.89069357269607
29,5.047510138669241
30,5.565210751052716
31,4.741074196814488
32,5.49939981661798
33,5.264625601930419
34,4.567668426235966
35,4.299749149205732
36,5.435720637878806
37,5.082087856411757
38,5.510393755068561
39,5.511320602155552
40,4.894258520034832
41,5.095596025602696
42,4.962184511980626
43,6.247716397216949
44,5.445031850582637
45,5.261426723761982
46,3.776221316416796
47,4.639371063978263
48,4.857291672621056
49,4.398724326629436
50,6.09554172218037
51,4.533501392296442
52,5.00981983094644
53,4.685660443122869
54,4.877161791449619
55,5.1964626094985515
56,4.1887163894654815
57,4.549567286036489
58,3.6558375314282587
59,3.971141750089264
60,4.933604329739571
61,5.192964515557235
62,5.220398510499911
63,4.579890298448546
64,4.82865086136139
65,4.8545738679963755
66,4.581201243513419
67,5.820611013312249
68,4.753558446970971
69,4.106848037962546
70,4.877980164822678
71,4.432951695878198
72,4.562251238052964
73,4.788424164873877
74,-1681.7593444332304
75,4.432951695878198
76,4.562251238052964
77,4.788424164873877
78,-95.10852999536758
79,4.67652555500046
80,4.788980015013571
81,5.145370567181729
82,4.239755843721579
83,5.947558585615265
84,4.2679133645947624
85,5.777720773592226
86,5.107531188810005
87,5.38618845651519
88,5.656459833768515
89,5.1293050265093285
90,4.553607441980615
91,4.12863375821577
92,4.275910126333122
93,5.517102454884474
94,5.3085512924095815
95,5.275267077836009
96,5.331527978130249
97,4.351150196014159
98,5.019974667374482
99,5.8766231024028714
100,5.562937034531239
101,4.7087656774823365
102,5.713736017446933
103,-2063.4351968329493
104,5.562937034531239
105,4.7087656774823365
106,5.713736017446933
107,-59.180061786238774
108,5.384683168190568
109,5.296993996768538
110,4.649202862241262
111,4.521040679859169
112,5.023351935619784
113,4.459704367109899
114,5.4023958512126065
115,4.645449328523869
116,4.564636334626196
117,5.198250266076334
118,5.981876000025323
119,4.409115413567764
120,5.366445207676174
121,4.789812152656118
122,6.205098396342078
123,4.770612784569196
124,4.21870298088395
125,5.689522919671561
126,5.3272385887738025
127,4.883118915969425
128,3.9818732387977462
129,5.282594978739245
130,4.664722801734041
131,5.393138323226864
132,4.322882405471392
133,4.787542139070089
134,4.403342731685807
135,5.037098851637817
136,4.783146410271559
137,4.827456183695147
138,5.508114818333489
139,4.019489365137453
140,4.545538707018738
141,4.0042843119425635
142,4.865736768613034
143,4.215130780776151
144,3.2369138086481
145,5.501590852309575
146,5.815709086514115
147,4.365091295440115
148,5.587387926765469
149,1666.7819379921525
150,5.546432490583974
151,4.407206347692617
152,4.288984226705428
153,4.121035737897927
154,5778.894001763267
155,5.60104762605462
156,5.278944407936325
157,5.206636904792017
158,5.382421950946516
159,4.716421236434181
160,4.896770374412371
161,5.196154067418495
162,4.616445745090221
163,5.440188675881543
164,5.007008558850225
165,4.210707581831449
166,4.474648488342863
167,-1719.2917958009841
168,4.210707581831449
169,4.474648488342863
170,-94.70159845670756
171,55.61142495472609
172,5.084063724479848
173,4.768516619514608
174,5.406330349426803
175,5.044252402793046
176,5.323733745327215
177,5.382325184096227
178,5.170978739662275
179,5.71501257820979
180,5.0348101423254885
181,5.6805938838117696
182,4.522617739040972
183,4.343737477824535
184,-3510.798034716419
185,5.6805938838117696
186,4.522617739040972
187,4.343737477824535
188,-102.37834332092763
189,5.3743126334226465
190,5.394051892096476
191,5.32564910990171
192,4.729581008252103
193,5.359625712400297
194,5.778700775161538
195,5.022835616132553
196,5.331085007075198
197,4.570490033442064
198,4.871371919575432
199,4.166258344124816
200,5.5067330807267805
201,4.492646935195395
202,4.746703148823365
203,4.91779332942023
204,5.742911431476664
