,trapEmax
0,4.6097548640367565
1,5.878381203793922
2,6.562912557533308
3,5.962997944216253
4,5.809029292532059
5,6.38544514295813
6,6.465592423689579
7,5.93420635991882
8,6.657392548162492
9,6.2403299570467174
10,5.5237360118655205
11,6.064337073671176
12,5.177513309262697
13,5.881707664451324
14,6.309293332757373
15,6.101214817394892
16,6.014092547453478
17,6.008904034444533
18,6.882025655534111
19,5.311519825180471
20,5.776385378379794
21,5.979962918187163
22,6.2883495244718475
23,4.056591541269905
24,6.142728360628596
25,5.8938610845953106
26,5.885397473383717
27,6.527435367536838
28,6.8281998391332355
29,6.8112916464980735
30,6.209965899391629
31,5.638365502411992
32,5.561833265582167
33,5.908830642707013
34,6.3286750201433435
35,6.0724301933742835
36,4.804139604255403
37,6.255919443025219
38,5.135793426245873
39,5.406721390922832
40,6.6792378369895475
41,6.781994014387593
42,5.5037568269622845
43,5.564237203026431
44,6.991147677323863
45,6.663705272388348
46,6.2275388020360625
47,6.257175927235957
48,5.805706847870807
49,6.16311393782371
50,5.7724625989948875
51,5.08260553839708
52,5.277152115700024
53,5.808493543191378
54,5.940672923030412
55,5.514122062531343
56,5.782759860770659
57,6.593542578459536
58,4.929710958268196
59,5.573991526517431
60,5.621725263461597
61,5.787782273134479
62,5.817564895438235
63,6.502962078191763
64,4.735116092688157
65,6.260419903361261
66,7.548567883728344
67,6.597131012908908
68,6.486468346926444
69,6.51553405002756
70,5.541633802635194
71,5.716364575334319
72,6.258199918312527
73,5.236058496678176
74,6.497725151433468
75,6.387531900083758
76,6.725115927166033
77,5.824507967648041
78,6.301402459118879
79,7.011582145631807
80,5.534183955141975
81,6.122454527587369
82,6.242929089059892
83,1898.2609391838732
84,5.359506759903115
85,4.5465296923301555
86,6.124056845521166
87,5.962629468057258
88,5.720207480023963
89,5.90122768680124
90,5.574063325068324
91,5.793781127675477
92,7.379034538729789
93,4.96103366769869
94,5.9360034848311525
95,5.813788448324055
96,5.555425033769409
97,5.615544110936091
98,5.38295906644725
99,5.613921513371392
100,6.068473558116068
101,5.693699648237887
102,5.172683662652666
103,6.289594989200713
104,6.81466769373495
105,6.030750910803755
106,5.853273134273448
107,6.361481857676616
108,6.51601772484451
109,5.568782937660567
110,5.525815471056492
111,5.244208053840152
112,6.163547730983975
113,4.6302438677093445
114,5.519144980982898
115,5.779758305860887
116,1897.2804219059547
117,5.955671486319815
118,5.482969087245203
119,5.5041975474355604
120,5.834863315367821
121,5.863863148575423
122,5.2934724174766155
123,6.445120628421788
124,7.166085192783296
125,6.249173327224287
126,7.1464199123719405
127,6.233823063031397
128,4.922383645519341
129,5.896974666484685
130,5.221733923246993
131,5.038701744416493
132,6.391061495332655
133,5.950412671984909
134,5.974470238219914
135,6.0594991504149744
136,4.793488521853792
137,6.999392627955254
138,5.864606531282662
139,5.678987685444507
140,6.134506657958156
141,5.597290799837819
142,5.501260220476678
143,6.438073782542632
144,5.614348194416884
145,6.187500593589853
146,6.114580647390151
147,3757.608068164066
148,5.723516273090959
149,5.175901548098959
150,5.247249871844696
151,5.851862887594331
152,6.586811212630049
153,5.593256521251896
154,5.549105751226625
155,5.8374175680454
156,5.275555225964954
157,5.559003964222658
158,6.394426464286514
159,5.501793413770757
160,5.473917404671737
161,5.407367733814139
162,6.2908360404974975
163,5.7639186129154485
164,4.904823304531967
165,6.262611719808157
166,5.354526114550938
167,5.839744825168079
168,5.722060587925452
169,1890.8729451833735
170,5.848212365146995
171,7.049514200595436
172,6.198002835465573
173,5.584771392154711
174,6.1126405590740545
175,6.1841587971755825
176,6.5302547998397635
177,7.293176958720001
178,6.58817049793157
179,6.607724932750779
180,5.627528903345578
181,5.954457246935681
182,5.105630289290439
183,5.654995860291279
184,5.883602216299223
185,6.005280286488896
186,5.576594092781672
187,6.320792028975162
188,5.624537002761068
189,6.714681789557132
190,5.615189937908539
191,5.81576777448188
192,6.410667263187808
193,5.647851381165954
194,6.328808891238207
195,6.530420294714249
196,5.741807663584326
197,5.721666798470369
198,6.179067748478393
199,5.642059492949924
200,5.107822777967002
201,6.452349531350563
202,6.872495045930574
203,5.579871421172503
204,5.292191780710583
205,5.648064056220533
206,10162.755313866817
207,5.560691159412586
208,5.6217912356288195
209,5.380807055863493
210,5.346548739551221
211,5.464623563606361
212,5.698574786450077
213,5.164323124606861
214,6.405013719532973
215,4.912069708054632
216,5.38358346479787
217,5.49619928046053
218,5.719917638450187
219,6.36198697525372
220,6.553002252162381
221,5.483100934030817
222,6.253795108612371
223,5.403353285750519
224,6.657544565774152
225,6.108225671122306
226,6.90454545929454
227,6.559410945063068
228,6.234424714277562
229,5.3325163849497335
230,5.493460853929197
231,6.183562711162612
232,5.418034204881777
233,5.982160707360692
234,6.5934420344609785
235,5.33340094823228
236,6.506820505886333
237,5.370485366703376
238,4.672994242526699
239,6.392409474279045
240,4.907698523922998
241,5.7321876217408345
242,5.300746123087694
243,7.180500151911607
244,5.64101148987982
245,6.858972774348639
246,5.202049450340226
247,4.721616766555763
248,6.54306072163826
249,5.256854719228683
250,6.531810926084574
251,6.021800604651668
252,5.879627370249521
253,6.470355657041472
254,6.599543392841459
255,5.869274689837359
256,5.370234311281628
257,5.7847723512798614
258,5.2405580310072635
259,4.972935085335076
260,5.815484308143065
261,6.286073928471256
262,5.752299589056204
263,6.325526985769399
264,5.474175723770459
265,4.934076162834549
266,6.937304230578283
267,5.506987644845378
268,6.3009825330086295
269,5.52454486855209
270,5.371185978360723
271,5.873543299123043
272,6.069275991374621
273,5.719250989067569
274,6.313854263151009
275,602.1357209211485
276,5.962283693451648
277,6.635758177894228
278,6.158740444002111
279,6.607440532373574
280,5.789369325398515
281,4.166669292396753
282,5.34318713520116
283,4.131382355692546
284,5.924825826254476
285,5.438301411163412
286,5.897869116044686
287,5.761050415432244
288,6.838505185892792
289,5.817448281229054
290,5.243168293340018
291,5.2573946326804135
292,6.396145560019368
293,5.7249622785375855
294,5.957769939167488
295,4.570936961164247
296,5.796207876567604
297,5.718255253269774
298,5.908588658264987
299,5.829762707439752
300,5.550461941332935
301,6.464115655776894
302,6.333863420392356
303,6.1825000490146875
304,5.87011221881465
305,1892.3307463048316
306,6.007121701869898
307,6.209723779401902
308,6.781278797065855
309,4.974853294883502
310,4.970062259878651
311,4.482464763692644
312,5.585782254911365
313,5.749258492412843
314,6.200586452691775
315,6.8989300635389785
316,6.008181958338374
317,5.686106228753099
318,5.633147114025075
319,5.0032407726382475
320,6.047623991491879
321,7.066441191074473
322,5.513088561960794
323,6.732046946072272
324,5.657118987228522
325,5.99283007430583
326,5.966087505340569
327,5.644414087845225
328,5.075659518248618
329,6.338750244286316
330,5.261951678306256
331,4.752047631870106
332,6.870005239404852
333,5.5062000079633036
334,5.306894743354081
335,6.700162149743763
336,5.190016606150917
337,5.314954071973756
338,6.783245699670539
339,5.739468526097006
340,5.2047809363902
341,6.496358365714389
342,6.21441125192405
343,5.319017718886885
344,6.51999178309489
345,3391.584877976345
346,6.654076734653564
347,5.351373968735409
348,5.109194462892858
349,5.991570908345004
350,6.072146409498276
351,6.821304560089509
352,6.817534377129567
353,6.198623674033223
354,7.104291909433697
355,7.199137833365243
356,6.094945726102064
357,5.831157633254414
358,6.320610102391148
359,5.932003957579653
360,6.126433973219994
361,7.229771973067414
362,6.649353462362994
363,6.1288911533709065
364,5.721299844209967
365,6.308123257198838
366,5.828144553394986
367,4.640079757504091
368,5.163521863263966
369,6.632766086047837
370,5.696186856657409
371,6.03478720536241
372,5.890586967494417
373,6.965068633223349
374,6.835491904786436
375,5.337007988140789
376,4.78221629432829
377,5.635714518359106
378,5.803799191151167
379,5.462899644944881
380,5.923603069004841
381,5.89545377471342
382,5.743526098525945
383,5.478267634357732
384,6.426454748540117
385,5.419483854028146
386,4.540493455927936
387,5.472812519283095
388,4.222391681275134
389,6.689313493075234
390,6.347577192720685
391,5.887300555879974
392,5.554605411356209
393,5.075329176807638
394,6.688889936899665
395,6.042671735908191
396,4178.2023818473845
397,5.200739802114873
398,4.41512477517276
399,6.805301127483458
400,6.42910632961324
401,6.3406607564828334
402,6.220533440331002
403,6.217799838305973
404,6.96059555667986
405,5.571332756226613
406,5.373474241671627
407,4.824347149128796
408,6.547652772361723
409,6.2418879413964765
410,6.253469070083341
411,6.693754284805421
412,5.377749142584778
413,5.8140474911155025
414,6.513155420944058
415,6.539769430440844
416,5.841138225033934
417,6.8321282203916995
418,5.410678107816187
419,5.05290130993702
420,6.761312252197302
421,5.181143452101408
422,5.714043778373128
423,6.398621675788573
424,5.8071852424364705
425,6.626675833561584
426,5.6443523322919935
427,4.431527248912777
428,6.024361494019395
429,6.773331408983543
430,6.457402773702537
431,6.520753341206578
432,5.804618060991558
433,5.509871448532655
434,5.856078944414688
435,6.411646097056196
436,5.262385945723456
437,5.328876432702175
438,5.347912738319172
439,5.959579863051222
440,5.379586797820156
441,5.909024350704042
442,5.551284071070339
443,6.636324942771107
444,5.34993062629262
445,5.661423447268469
446,5.257780582047425
447,5.912617251703667
448,6.8661623463320165
449,7.470959014666432
450,7.3599553754544775
451,6.474271638721162
452,5.023462907625733
453,5.225148626951587
454,5.636916145920565
455,4.780973903987286
456,5.855127872148583
457,5.14926186848909
458,7.107501482977602
459,6.3315668754056205
460,4.4819979350132195
461,5.833266434228575
462,6.326711512276941
463,5.847492482924315
464,6.252325878131592
465,5.254181850405537
466,6.016657379665317
467,4.3888133322408125
468,5.83410030406341
469,6.491337144515804
470,5.972047673191447
471,5.625639030199425
472,4.697393646182986
473,6.124855587718335
474,5.903183104957742
475,6.770072988122186
476,6.1227434189412016
477,6.889475849109919
478,6.576468639573137
479,5.7531589734624555
480,6.775669177271201
481,5.881212652444109
482,6.758893219887126
483,5.62101721997576
484,6.276999253123113
485,5.7123577915979995
486,5.955878465397933
487,5.608305903738192
488,5.659184974462151
489,5.228819619347701
490,6.403860790899149
491,6.153418336336334
492,5.4190507102863
493,5.920615513112665
494,6.363317078674101
495,6.470183626146319
496,5.690350836461946
497,5.866433369409903
498,5.890548078424465
499,5.4275346116752665
500,5.874538329221334
501,5.345007841386144
502,6.276573990416294
503,6.295200378663855
504,5.633123653891175
505,6.64015680825738
506,6.693490258458853
507,5.092098463694926
508,6.1140179542240976
509,6.349096245680899
510,6.66786457359564
511,5.234219210337514
512,5.78239114474093
513,5.1464427334799465
514,5.3224008456418845
515,6.132131473821161
516,6.86887703022179
517,5.999217823457883
518,6.634875391750702
519,5.903883311784795
520,6.072479178289902
521,6.646791293689484
522,6.82547442364862
523,5.80513450689153
524,5.28994896822863
525,6.141045687186895
526,5.843246830241331
527,6.484877293281099
528,5.851824127907611
529,5.867559643799106
530,7.080934388894622
531,6.76743807221421
532,5.310074327937005
533,5.826986361410591
534,6.754316003615905
535,5.790100599439705
536,5.2693269267157135
537,6.000885384032476
538,7.072230175103028
539,6.594017224247106
540,5.637735808979046
541,7.111811921110164
542,4.871189101981884
543,6.868069625789932
544,6.30129081297999
545,6.829815689742454
546,6.872091169918679
547,6.116499505013318
548,6.178186680359693
549,5.894461242945895
550,5.043737706300373
551,6.349843223754403
552,6.368166590027549
553,6.488015764944091
554,5.989961435722507
555,5.433723511686608
556,6.684303012820975
557,6.404150775435674
558,6.093225759676836
559,5.741649748386383
560,7.244397543491182
561,4.40167354295288
562,5.64081478845341
563,4.525321126044201
564,6.046254192776317
565,6.212341272337272
566,7.137624227400405
567,5.946801639288082
568,6.14257689765883
569,6.5949708085280765
570,5.451624580199728
571,4.550998509843622
572,5.942823848405427
573,6.287137418995405
574,6.6362003298685215
575,4.773047228416367
576,5.345493346381008
577,5.194407016288785
578,6.786794928570074
579,6.009086853318306
580,6.108783696485831
581,6.08677326739122
582,5.038035075934515
583,4204.061022940398
584,6.666222239322752
585,5.886084043349394
586,4.577679362715663
587,5.799583127147493
588,6.631510560506317
589,6.386271751002055
590,6.413133301981049
591,5.9023397809619285
592,6.232494047732711
593,5.976423074212045
594,5.600672718675548
595,6.118340535888665
596,5.718231353089087
597,6.160361977196802
598,5.55427825403926
599,5.434950016811704
600,5.817624720925401
601,5.704738564892291
602,4.765415091828113
603,6.1562310430961755
604,6.072574764505428
605,5.922915429191272
606,6.748700947744282
607,6.253870466255308
608,6.751671974184102
609,6.990638822716953
610,6.876948937973888
611,4.813132936835785
612,5.711214069674891
613,6.147063712963933
614,6.093462052697712
615,6.4886295836201775
616,5.350743056044723
617,6.724740934315461
618,7.397323141953046
619,6.966709337950709
620,5.7283484816430015
621,5.573434156358063
622,6.371746652503268
623,6.041624446185372
624,5.858627851681882
625,6.623303622706295
626,5.480454956309501
627,6.729183509633463
628,6.1601424903225
629,6.7508134440039695
630,5.566061972388477
631,6.328247769207553
632,5.638783118637626
633,5.552584767778124
634,5.426514772738601
635,6.441242693352578
636,6.530139532458784
637,6.214849528456951
638,5.877294006768791
639,5.391879534647022
640,28.400890630303252
641,4.9448114900999345
642,5.064395744882194
643,6.151600735979715
644,5.595667870359796
645,5.108481645622913
646,4.157643402630216
647,5.938470411638357
648,6.370604039778087
649,5.779789359370794
650,5.048295424139977
651,4.786416079952302
652,5.385151900786664
653,5.373527515702453
654,7.870711878897681
655,6.535156892463786
656,5.3044571580849995
657,6.961089505250992
658,5.533776660330959
659,6.3836045082647175
660,6.008859019430796
661,1891.2456298542445
662,5.852583741397708
663,6.612351732822308
664,5.462619817052198
665,5.525427680325429
666,6.4239729354668595
667,6.255865925710002
668,6.459467171396963
669,4.972389088054722
670,5.777197530416367
671,5.82078042786887
672,6.885027361074958
673,5.127366434618284
674,5.6089987491086895
675,5.975544987832375
676,5.497647953594542
677,5.77493203721823
678,5.562522012236305
679,6.87078483099898
680,6.6122218583503125
681,5.930828334164198
682,6.176566048452011
683,6.484814907015073
684,5.272893167193546
685,5.837737731049864
686,5.806115436066042
687,5.69774733395227
688,6.537300526409016
689,6.159547800231321
690,5.459964576102672
691,4.8348703875987695
692,120.33627764142257
693,6.462123965116411
694,6.362708689443375
695,5.221827706508413
696,5.554267247530781
697,6.358442891235229
698,5.935686177941528
699,5.4493440491684835
700,5.763053407337032
701,5.395797888953133
702,6.579891302651349
703,4.987944219066706
704,5.63709932417026
705,6.140575960829874
706,6.680562950745665
707,5.814392279075971
708,1891.4052167990135
709,5.495563170067536
710,6.010563546893805
711,7.160709371546619
712,5.110308914219263
713,6.2478033088608
714,5.518966053417124
715,5.381753321958259
716,4.968097305618376
717,6.0163464207545205
718,4.839682336132821
719,5.597808200255416
720,6.666568062861894
721,6.225067342417392
722,5.496731962490515
723,5.2406567929161785
724,5.819431250094504
725,5.406506938197476
726,5.784634163466115
727,6.823826685921434
728,5.155534334938637
729,6.553966690238496
730,5.5862499418267495
731,5.473557406371414
732,5.503777571756378
733,5.2041473107270715
734,4.960501115778791
735,6.550228264008481
736,6.532467221539422
737,6.022958169780506
738,6.571623560518855
739,5.496888207058201
740,6.20179643897302
741,5.107039369811508
742,5.790275310334604
743,6.876644930860755
744,6.2864101659475935
745,5.163677883122432
746,6.0071023213745
747,5.560375126040253
748,5.4377222880175236
749,6.767205886216315
750,6.484182885641911
751,6.048713036027587
752,6.878484749619516
753,5.8054278949352796
754,4.892988328073129
755,5.718949889140349
756,6.043170843805967
757,5.389972226361084
758,5.838954697529038
759,6.007793682797164
760,4.87127933093454
761,6.482474550470479
762,6.43746701699105
763,6.749258927719113
764,5.674230157156669
765,6.030214105694885
766,5.804373122722912
767,6.236166637262288
768,6.155475110026149
769,6.359841854641352
770,5.970155554361936
771,6.484418371847772
772,5.553992999330329
773,6.346307838940273
774,6.179174873072014
775,5.0456758142055085
776,6.8556528009235205
777,5.212236249637636
778,5.378801124237249
779,6.4779900522902665
780,5.241488421968022
781,6.642705283090788
782,5.681056440010835
783,5.035659860976743
784,6.806919655752221
785,6.282272159322692
786,5.805072579597641
787,6.417687244896431
788,5.995718382270615
789,5.893028037498234
790,5.158230247353644
791,5.454595647393238
792,5.9333824749786
793,6.740500630216174
794,6.184665820374178
795,5.341136514553062
796,6.153063190408962
797,6.559325475615429
798,5.32570992231381
799,5.375107828793471
800,4.789947623381476
801,5.393242238476201
802,6.500061505963869
803,5.479717539416131
804,6.011470333948117
805,6.490709930761222
806,5.650947628867878
807,5.943414805243337
808,6.878477956862629
809,4.338694331762546
810,6.161862243311618
811,6.595520660684397
812,6.100051425648207
813,5.370730603222997
814,5.22028628900463
815,6.5526972237439685
816,5.754044118380318
817,6.071168321660814
818,5.998798984260776
819,5.449506005070796
820,5.76890749328009
821,5.387750892098696
822,6.5379174084547875
823,4.838632292540386
824,5.825878850463026
825,5.794304055593291
826,5.754415550930417
827,6.51279672841783
828,6.065184967930615
829,5.996204927812685
830,5.755729504294195
831,5.186662717378082
832,5.949816625039265
833,4.990445603865042
834,6.72084920580936
835,5.8748850042808725
836,6.206073467176018
837,7.006727059428473
838,5.9549720871509875
839,5.864484714971533
840,5.292899595015672
841,6.912880330144483
842,6.244736719399635
843,6.211629461159093
844,6.382847121652247
845,6.407705596161478
846,6.5912134567482425
847,4.527201894580674
848,5.318179040688357
849,4.916838766239907
850,5.801905687148754
851,5.759317704974232
852,6.2117261551141
853,6.146764213154249
854,5.920815387396701
855,5.734900061680481
856,6.523868644330914
857,6.138633715096302
858,5.974372526627555
859,6.023820532553733
860,5.217365965403854
861,5.748593969935983
862,6.063498855692564
863,6.211957314708822
864,4229.728286467379
865,5.733875863636912
866,6.335895177976293
867,4.963837470481448
868,5.222737246514076
869,4.6769419583401435
870,5.959489782480827
871,4.597887051225818
872,5.100795010259773
873,5.858397192969655
874,6.644812794080309
875,6.794623500768194
876,5.682616420676837
877,5.999365902066746
878,6.190928152085095
879,6.540989998915179
880,7.135979479286111
881,5.687882645924978
882,6.892917104509623
883,5.732461729271163
884,5.882110191145095
885,6.273404872614918
886,6.343508261411371
887,6.64637363670504
888,6.194119612480249
889,6.638177273850095
890,4.909549863822352
891,5.598165974472182
892,4.410384263915862
893,5.791751981171686
894,7.002233557035655
895,6.419700881323102
896,5.645912199216715
897,6.7593734150630995
898,6.033836949649006
899,6.780827881442643
900,5.7973186214550285
901,5.724261086876699
902,6.378553151653197
903,6.450596748207935
904,6.053298568240302
905,5.4230361435099885
906,6.037483833028538
907,5.761612143570687
908,6.3842132891420915
909,6.95847565422157
910,4.935959263466803
911,5.677670949346825
912,6.00827359181984
913,5.270367773584938
914,6.595801949600848
915,5.4350717059806
916,5.913826730378205
917,6.566792974531313
918,7.042146892941256
919,5.728950206904448
920,5.811836251746147
921,6.419512582332376
922,6.408298573028944
923,6.782463855764157
924,7.102563186437533
925,5.968933242271899
926,6.583244841769017
927,5.598905935179033
928,6.8375139736989405
929,7.036535071860654
930,5.218933682026239
931,5.80550193224338
932,5.672284853059521
933,5.253290919110535
934,6.059771556259638
935,5.571900165845752
936,6.844754273145076
937,5.315347363275347
938,5.8884006074317785
939,5.382891973239654
940,5.393129723498121
941,5.519506639977656
942,4.675851552081605
943,6.09198635680367
944,6.041570569646184
945,6.012795879636877
946,5.5979918881937785
947,5.973861629693068
948,5.805262706262348
949,5.687004482870082
950,5.498209269735953
951,6.272895241571231
952,6.115296672881611
953,5.868436000831745
954,5.308469777673058
955,5.932506642732702
956,5.472519945884179
957,6.18200287428637
958,5.997734133535265
959,5.970274823087318
960,5.965131239075945
961,6.648850903709833
962,5.330138196141788
963,4.914845100883981
964,6.900455745522468
965,5.704237119627462
966,6.625479910704241
967,6.050896812993243
968,5.823689534102779
969,5.6607517956358375
970,6.553401819160295
971,5.652202680931969
972,6.316359671167946
973,5.994941720653845
974,5.184625833900877
975,5.153974575293832
976,5.533961456050242
977,6.449680974950487
978,5.133614831890258
979,6.175415431315883
980,5.989091497958139
981,5.343062787861379
982,5.568941362774035
983,6.961026980641489
984,5.434681897835227
985,6.087876582704839
986,5.928547829223345
987,5.36141665840336
988,6.580233609297462
989,5.5199119095195615
990,7.080842990779188
991,6.243591770106077
992,5.965153132008204
993,6.5321033014501415
994,6.436327867277372
995,6.615395753062839
996,4.836370654543008
997,5.009698725370387
998,6.219063626444383
999,5.748349875281045
1000,5.792754087935755
1001,5.65388215973834
1002,5.67460143468582
1003,6.6966127233895225
1004,5.523180330085917
1005,5.264394382404462
1006,5.6102866858081555
1007,5.149184517136625
1008,4.933113605633752
1009,5.568081881217075
1010,5.019234612393542
1011,5.293296025230698
1012,6.049168212448842
1013,6.513225915902963
1014,6.877967031433615
1015,5.508980893936669
1016,6.865500020949252
1017,6.026129401291036
1018,6.304032700632711
1019,5.098656946190318
1020,6.197103908574364
1021,5.892302077249984
1022,6.076743617274872
