,trapEmax
0,4.6256717239698775
1,5.873924554634125
2,6.558494061680593
3,5.95797921452875
4,5.807742751667694
5,6.383327860333949
6,6.455846509144579
7,5.959401029073647
8,6.671008655412868
9,6.262564293169411
10,5.530377492569711
11,6.084592257105021
12,5.196273889866932
13,5.889609584221691
14,6.298230863500524
15,6.103217042250195
16,6.029639557672445
17,6.019110529781283
18,6.85991291085516
19,5.325151683156196
20,5.797652437303213
21,5.959938774840648
22,6.275679965095676
23,4.053898171108421
24,6.1581317142303025
25,5.88191687704133
26,5.864791363343502
27,6.537414723521384
28,6.811296565462073
29,6.811642548071325
30,6.201316001398199
31,5.630361748255409
32,5.578435375219316
33,5.903945151711549
34,6.32668955334147
35,6.097084019472559
36,4.786650199471328
37,6.237320585120899
38,5.146066775492061
39,5.398806130716067
40,6.701209768204334
41,6.768412438990285
42,5.489198624033015
43,5.576604160263828
44,7.0002938777602886
45,6.659055847044662
46,6.216828162450058
47,6.250625926984473
48,5.784076179315486
49,6.156539028797013
50,5.7916232861038575
51,5.100374608211923
52,5.282562663475559
53,5.791903473006179
54,5.937541552475157
55,5.493106823339743
56,5.8207722666827
57,6.6052133375444315
58,4.938740250197475
59,5.5776166120349275
60,5.626184195112891
61,5.777028969601024
62,5.818780315315214
63,6.51624513364464
64,4.747753601834683
65,6.24249594605203
66,7.547207787139597
67,6.56402897417015
68,6.475071539835331
69,6.5307644354674705
70,5.494465719956927
71,5.708238314618823
72,6.277239890852375
73,5.242806560987953
74,6.496348743955487
75,6.365977107577186
76,6.714586298417526
77,5.83020136979485
78,6.310865611464662
79,7.023674781741398
80,5.534988720033584
81,6.115767904012571
82,6.230469723073011
83,1898.2631119661394
84,5.359643122149385
85,4.537675227556974
86,6.126346479859353
87,5.969578277271898
88,5.759424694143228
89,5.91016446250934
90,5.614940808203063
91,5.824199350216665
92,7.396955715775342
93,4.981593995170719
94,5.93107267155181
95,5.812906221185259
96,5.531974603423302
97,5.615034616056306
98,5.394457614471701
99,5.6247217606218936
100,6.08165852603973
101,5.684128764482169
102,5.161986255861064
103,6.278260750627864
104,6.799905513420179
105,6.032155051858176
106,5.8463020329697315
107,6.36312175766135
108,6.519612369187524
109,5.573144924176911
110,5.513455426934345
111,5.259853223232981
112,6.1696293109944165
113,4.622011899635736
114,5.50678490612618
115,5.794779186969839
116,1897.2949369152664
117,5.986048380599481
118,5.472049653776655
119,5.474883924100688
120,5.846939970811558
121,5.844296307398787
122,5.282094632777474
123,6.442660438126992
124,7.166334251438446
125,6.253958221267405
126,7.16569225305778
127,6.22450966961698
128,4.960894796083961
129,5.873581227432909
130,5.231975186942629
131,5.032247972709089
132,6.377117122562354
133,5.932693530265475
134,5.982632999075627
135,6.047639669822241
136,4.804524216873988
137,7.004062943074598
138,5.876237801074449
139,5.690552222332368
140,6.116450411256364
141,5.580063362105958
142,5.506808285285421
143,6.4596564772995855
144,5.641448410010015
145,6.171391437433125
146,6.117086613089143
147,3918.058690002671
148,5.721972908879889
149,5.194089676676489
150,5.255062037201323
151,5.843651379357921
152,6.57038876767772
153,5.5553103094071385
154,5.530458189818719
155,5.850831019083806
156,5.277900655406856
157,5.557943536606182
158,6.409623402330264
159,5.48673821663439
160,5.4808894441210745
161,5.417647446991542
162,6.310067379333694
163,5.771483220796317
164,4.917045805797853
165,6.262712809031056
166,5.338194120157957
167,5.852272144219117
168,5.730467148791906
169,1890.8877467793106
170,5.827281246283174
171,7.025471686175853
172,6.191533743099019
173,5.577785541950859
174,6.113147954509876
175,6.186768216140756
176,6.542774690635983
177,7.302406139880657
178,6.5932471345560435
179,6.610735836132314
180,5.629085031858912
181,5.92788239506223
182,5.12890428721797
183,5.622299329997727
184,5.867636185189872
185,6.013440878018816
186,5.571523113369344
187,6.319298436160848
188,5.630106635245413
189,6.716195334955045
190,5.5972096014724855
191,5.790776634047575
192,6.437970213339304
193,5.654819662523611
194,6.2975871922011315
195,6.507329856173479
196,5.746321985174195
197,5.748243292383455
198,6.186028738422493
199,5.632139975870554
200,5.093336539068384
201,6.463333640193712
202,6.8786948723045755
203,5.58439052831772
204,5.284296587835477
205,5.658115756011223
206,9615.25043759279
207,5.550204314808107
208,5.618944788601753
209,5.393920082480751
210,5.357818106472217
211,5.4754772373156255
212,5.680971871810661
213,5.178190736942426
214,6.406556084154098
215,4.9256086834775346
216,5.363885575299661
217,5.4980248679203765
218,5.721921580538827
219,6.3626040106749695
220,6.534086050449957
221,5.464616708965574
222,6.236438064189325
223,5.404526841293553
224,6.658945290728379
225,6.106657697678671
226,6.888343717465002
227,6.562098920695092
228,6.239563155513334
229,5.338631404592373
230,5.488069572681701
231,6.177058864082255
232,5.443233559771939
233,5.98824094108115
234,6.601251723180093
235,5.324385520672548
236,6.51424511262939
237,5.346067681238491
238,4.657885522974326
239,6.414688210033021
240,4.893565604664313
241,5.724737496141679
242,5.299824499337631
243,7.172690481491445
244,5.618088863391114
245,6.839094661934472
246,5.209923095027327
247,4.732417134734518
248,6.568586612639967
249,5.254497209355102
250,6.509583841426141
251,6.029635001020183
252,5.8664754679698135
253,6.460196313050839
254,6.6105359662513905
255,5.88173886248985
256,5.400758363442397
257,5.798336305433745
258,5.240216035756391
259,5.008808720357334
260,5.831785343571704
261,6.283368448800132
262,5.765858704724497
263,6.349857803163229
264,5.4668198440764675
265,4.934332282789617
266,6.911279061980192
267,5.50064930490401
268,6.271681994650416
269,5.527491556081027
270,5.3713721864947015
271,5.857866515000422
272,6.056357039103581
273,5.712445081040517
274,6.302404217663421
275,599.8468038307019
276,5.9789808143308525
277,6.622527265529959
278,6.136786013619645
279,6.603106855958813
280,5.7774497665687905
281,4.158670681435274
282,5.331177121809829
283,4.150924360801591
284,5.928146161110216
285,5.425370389166151
286,5.879887956333856
287,5.7628561630740505
288,6.827559469243662
289,5.822420405323014
290,5.23721413618271
291,5.2485936377510845
292,6.402143282421175
293,5.740603809586064
294,5.9392149007945365
295,4.579095552807238
296,5.816696082324761
297,5.719474961411767
298,5.892468895585128
299,5.8277269897555755
300,5.5576627161047245
301,6.448735888495462
302,6.313425613667327
303,6.178801328888872
304,5.889872799763602
305,1892.3297659422926
306,6.008672102012527
307,6.215959153671363
308,6.811033946969124
309,4.964117231582159
310,4.979440607861779
311,4.479862989155009
312,5.568346504188035
313,5.734712877983206
314,6.1910433922858985
315,6.912695323583555
316,6.010235887399803
317,5.674578726822488
318,5.616051420112633
319,5.020350360287575
320,6.064058223602054
321,7.047884612894792
322,5.516504997814895
323,6.743866305810175
324,5.659902595736357
325,5.995872325855688
326,5.977228365485764
327,5.65474826026269
328,5.058491861916139
329,6.346520588195881
330,5.272900582729051
331,4.7623098063107125
332,6.885749959812928
333,5.514254124498885
334,5.311915304431415
335,6.73707101582542
336,5.217959231225538
337,5.329785743901052
338,6.773748191384496
339,5.719228162238123
340,5.216613660875435
341,6.466057473117875
342,6.216093556772106
343,5.345634286995423
344,6.528951120910012
345,3214.898124417053
346,6.6640505622727195
347,5.352427594126356
348,5.11311043716257
349,5.971755037733523
350,6.068117703674273
351,6.8188323824329204
352,6.802113433124525
353,6.190937417826176
354,7.087302856821193
355,7.195130506039092
356,6.090801452868664
357,5.84056241832325
358,6.3443786698605695
359,5.935078879902505
360,6.128347172924022
361,7.209307302621666
362,6.658432030058859
363,6.132570897393036
364,5.634214966341882
365,6.3121960869583935
366,5.8283398606070556
367,4.636456359243073
368,5.166515836704223
369,6.647534651184591
370,5.671371503633855
371,6.037209374976852
372,5.904041574194138
373,6.964107411980695
374,6.821067313622421
375,5.327907727941256
376,4.781736426634608
377,5.639491919895506
378,5.8053588413250985
379,5.455865249876723
380,5.88318001497665
381,5.8974280254508065
382,5.732735945213709
383,5.486339673581555
384,6.409530960936361
385,5.424730275619243
386,4.55356840372123
387,5.444624256064028
388,4.219093072665111
389,6.687435869011008
390,6.349386740183778
391,5.890918149199222
392,5.557175548268311
393,5.075837274915669
394,6.689422231099901
395,6.046327483426385
396,4293.634786324901
397,5.216839583392736
398,4.29367612527255
399,6.801973168737252
400,6.431064759315207
401,6.338281298156346
402,6.235498794767822
403,6.240545874650839
404,6.932588354021895
405,5.571784101373878
406,5.372777098276096
407,4.824466956145794
408,6.53253777506016
409,6.248041026786292
410,6.227725336504092
411,6.676427187567869
412,5.362074997561583
413,5.803857753751584
414,6.501274849150459
415,6.546329332148143
416,5.830274979522162
417,6.812070804190396
418,5.412750938002889
419,5.080821974823183
420,6.760489463110295
421,5.196374178669171
422,5.740310676268043
423,6.426221127151929
424,5.816542595840072
425,6.626893798050248
426,5.662915722188269
427,4.425804261793489
428,6.034215090816778
429,6.754269643640112
430,6.438685126092959
431,6.5112349728961965
432,5.8042772890451575
433,5.518313620198315
434,5.8777537273238405
435,6.424087883080861
436,5.217830819630718
437,5.312541834565127
438,5.361710799611533
439,5.945110683506732
440,5.36787346789607
441,5.88112653500859
442,5.563538055735331
443,6.642811525459401
444,5.342581827383005
445,5.656864431804764
446,5.237143324951969
447,5.9058010193161286
448,6.876597217459281
449,7.4726543494023
450,7.364254480420016
451,6.470849545940301
452,5.018564679754969
453,5.235376296587647
454,5.637744130388415
455,4.778025638244255
456,5.887818261406808
457,5.140550674477946
458,7.10448920124323
459,6.340212531294758
460,4.453531576520902
461,5.812333920567895
462,6.338828637302005
463,5.853106995782178
464,6.266151155984537
465,5.24550594336168
466,6.016796911916981
467,4.393997094188616
468,5.840268144701237
469,6.469827023939888
470,5.964030400797684
471,5.629976606196122
472,4.712267976028928
473,6.11820085085956
474,5.890630769995843
475,6.7715825633576285
476,6.117500979253137
477,6.891365699391779
478,6.567148682366745
479,5.776186486109081
480,6.7587457598323715
481,5.853476955920078
482,6.720965333234254
483,5.60482958655944
484,6.301376217638454
485,5.716218158182423
486,5.932967055187733
487,5.588939602523624
488,5.642432800808805
489,5.225382334028383
490,6.394163771564952
491,6.127073055604793
492,5.403871985337813
493,5.9115807090445855
494,6.373703068719814
495,6.4709231145616535
496,5.700459845788563
497,5.876324746544507
498,5.86274588550225
499,5.4436632529221765
500,5.875246387657983
501,5.327748599909777
502,6.259240797494588
503,6.314449325006005
504,5.623972282856247
505,6.652915722447911
506,6.6888264704084195
507,5.117366346787883
508,6.102735054280588
509,6.336758013756956
510,6.679240512008844
511,5.256245741018349
512,5.756700326142468
513,5.136353221739963
514,5.337183031904194
515,6.116603963451621
516,6.844471279414825
517,5.972420546044839
518,6.656477996158633
519,5.913385677687012
520,6.076854257822981
521,6.638718210696345
522,6.8132979329084815
523,5.826552811907954
524,5.308323923370112
525,6.140652403536868
526,5.8418468495275775
527,6.460579777997766
528,5.865949390065565
529,5.887312948195719
530,7.0574696920340925
531,6.758147871206268
532,5.274722265395601
533,5.82385800694291
534,6.752303462166477
535,5.794566964507215
536,5.275283093459859
537,6.0150156668691155
538,7.067710337215805
539,6.579887246657373
540,5.646293924115134
541,7.1386521821696025
542,4.869597674200446
543,6.847638122778613
544,6.3212446111454526
545,6.840081555337684
546,6.866247503849785
547,6.121908493408938
548,6.1705841620784465
549,5.905175527915716
550,5.02528187024324
551,6.349266837670804
552,6.367718577956881
553,6.485362239442255
554,5.9829883565416315
555,5.433516430052706
556,6.689022340671986
557,6.399319877649359
558,6.1269801530210755
559,5.751200646740155
560,7.2502626049768875
561,4.425146613117369
562,5.634365899148701
563,4.477074882160165
564,6.015282072553583
565,6.220436815947967
566,7.142758406857615
567,5.910718917200638
568,6.105216214953165
569,6.5845669620494345
570,5.438422947114246
571,4.547174791664075
572,5.968941383013655
573,6.276623328667328
574,6.615788390750573
575,4.763066344577413
576,5.319468271962446
577,5.196516215443988
578,6.7963522956936755
579,6.0076856235440355
580,6.105513895348982
581,6.078429349246211
582,5.065272599337574
583,4293.84738928803
584,6.653897470679
585,5.905249731705244
586,4.581061324005883
587,5.787597925155302
588,6.6369882287831246
589,6.3822576835039655
590,6.424507716838163
591,5.90355152270073
592,6.242341212758388
593,5.979631823966695
594,5.617781042834156
595,6.122600518570509
596,5.730416636617406
597,6.1218740178829965
598,5.550268732692574
599,5.427220338066896
600,5.80737120948479
601,5.686069292822787
602,4.785378952218835
603,6.139084044584719
604,6.058632280392338
605,5.912662558494259
606,6.772133566510204
607,6.260678504178171
608,6.7411672486385985
609,6.985847055404544
610,6.85769940684
611,4.824207468202951
612,5.727556964133988
613,6.153843277732054
614,6.077084767823837
615,6.481557779144791
616,5.363218908367354
617,6.723147440211449
618,7.374237976142548
619,6.944808909156382
620,5.738748721457428
621,5.568080504669976
622,6.377258845168102
623,6.0367837226617
624,5.853090265520079
625,6.603538864572395
626,5.479608641697317
627,6.727491439245243
628,6.147878574857902
629,6.740569640645449
630,5.5745189065116705
631,6.326300348655618
632,5.653305944618904
633,5.5283803647189265
634,5.455875470452982
635,6.445418037820164
636,6.511769428166213
637,6.20119704762535
638,5.883016395221411
639,5.403157967970476
640,28.065937905455822
641,4.974347655626637
642,5.059066659380001
643,6.1429406821574055
644,5.615999346184477
645,5.125878345834994
646,4.165314479700674
647,5.920236819403026
648,6.352261795621646
649,5.784884009996295
650,5.039005019557514
651,4.788350489482157
652,5.367769023379645
653,5.393764022791473
654,7.869612045175744
655,6.549863209096293
656,5.309293737366549
657,6.96924418847777
658,5.53879019851453
659,6.380598148947153
660,5.978412277981663
661,1891.2399809107362
662,5.859422868603239
663,6.619748822264586
664,5.451262459076018
665,5.529721350332769
666,6.42805800317669
667,6.254988755458988
668,6.427941387706312
669,4.995828403243606
670,5.77434872346041
671,5.83221072236431
672,6.892968573488723
673,5.115616041029912
674,5.6014837622819424
675,5.979515134040657
676,5.477488797700939
677,5.762327550158787
678,5.546754653599111
679,6.862931070604055
680,6.636837022110542
681,5.921306108776434
682,6.16125967754863
683,6.489847170937311
684,5.271328124710841
685,5.869284639024917
686,5.8180131257887595
687,5.720669974866686
688,6.528935061973457
689,6.170236620430293
690,5.4594768875710695
691,4.802008679917202
692,118.41147956360703
693,6.463053465397669
694,6.360224133545837
695,5.2492807427953245
696,5.565118062386735
697,6.349692851291994
698,5.932397745022518
699,5.414601212779577
700,5.776472463130071
701,5.416095408177824
702,6.5831841725876945
703,4.965320581172486
704,5.656415551371246
705,6.145406235263632
706,6.6607646783486425
707,5.822030307388552
708,1891.4041673059733
709,5.475849096824686
710,6.013676448272914
711,7.171705320726219
712,5.1168449571732655
713,6.223147136703836
714,5.50431502659228
715,5.366555833444531
716,4.986467262950459
717,6.02812889212444
718,4.8145050364257855
719,5.62769197063084
720,6.633852144370279
721,6.217590021074036
722,5.499573696674573
723,5.234933009343754
724,5.81023224900431
725,5.413646121324785
726,5.786513877954261
727,6.822868834895968
728,5.168818044138139
729,6.5733062429803955
730,5.59785580338713
731,5.485217110281232
732,5.499119330354301
733,5.180100170270314
734,4.965446075603968
735,6.540965436418528
736,6.53887287741026
737,6.048238981331332
738,6.553397839852726
739,5.514037480766383
740,6.195668754503159
741,5.138927109245458
742,5.784293290409521
743,6.878764706896878
744,6.29429674636043
745,5.149903578091469
746,6.015519954165889
747,5.556695692053622
748,5.438920365851314
749,6.780808091026147
750,6.470008757722832
751,6.0515324336655025
752,6.886717444421894
753,5.819983350257852
754,4.881817846257099
755,5.737291602718399
756,6.045415224757811
757,5.38687864168039
758,5.8359330979723225
759,6.014820318540114
760,4.857989005727069
761,6.48258329471
762,6.462239411027209
763,6.751158882290335
764,5.668281069493769
765,6.027030340773742
766,5.780016844732571
767,6.2358854123947385
768,6.147090915415867
769,6.359112681313684
770,5.970412352378152
771,6.49341139536094
772,5.581701307442986
773,6.342022665042475
774,6.130353942112378
775,5.03381652751847
776,6.843765631974084
777,5.228790411693909
778,5.3915905825587425
779,6.457645231735238
780,5.22739808384439
781,6.642219123957678
782,5.671852157683964
783,5.072718870513543
784,6.80975287084652
785,6.29580124546513
786,5.8112790596244706
787,6.401083920898067
788,5.998171951234142
789,5.899217021468931
790,5.161244348800024
791,5.441548216406224
792,5.948061505260852
793,6.744666336488318
794,6.190299944983842
795,5.349430247528847
796,6.136765677724625
797,6.562265001722659
798,5.347419496364152
799,5.375443915971882
800,4.782130130210227
801,5.376982380672772
802,6.499874013521207
803,5.5002049691317785
804,5.992304465064269
805,6.468547605438487
806,5.619786722732293
807,5.957636269671715
808,6.880317706505666
809,4.34074727851093
810,6.161988714775844
811,6.586074274184582
812,6.093352235410025
813,5.368614497231348
814,5.251183832738592
815,6.575168408776031
816,5.742358691270118
817,6.086681006385099
818,5.998413785856501
819,5.44948637333801
820,5.764153132183642
821,5.401768538005487
822,6.526699698569368
823,4.764561792042018
824,5.83094471100128
825,5.807316192760873
826,5.768325510282228
827,6.521047801571591
828,6.085145582063295
829,5.98748359299488
830,5.767847903346271
831,5.172302852752523
832,5.942254251091628
833,4.999253234278675
834,6.722511358193969
835,5.860578845977176
836,6.2062864414727565
837,7.018459556946815
838,5.945699740500435
839,5.849553841925916
840,5.275088281749528
841,6.89779435622702
842,6.214479954923222
843,6.203835649118312
844,6.3689142424563165
845,6.409549373219127
846,6.591791449033005
847,4.515724473923092
848,5.302604061863279
849,4.919301560744244
850,5.806116503496828
851,5.769038313013869
852,6.198765608812423
853,6.156130660855903
854,5.951459642790071
855,5.729802728432314
856,6.517355241887414
857,6.133814563381761
858,5.9660513711027265
859,6.034930665695543
860,5.199421804775284
861,5.739808917957206
862,6.076604042744592
863,6.225673593479191
864,4353.829799315596
865,5.7355630823427335
866,6.339905176589377
867,4.969907497045263
868,5.244058169979653
869,4.676021281381334
870,5.968606194971785
871,4.593555988777256
872,5.089175348821039
873,5.853937959679055
874,6.647118407953129
875,6.807808342242279
876,5.680261594857632
877,5.970084770871375
878,6.169437818917069
879,6.5485150127603955
880,7.14231517089501
881,5.694644856086869
882,6.925295576465211
883,5.722941926671355
